"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","Cisco_91:84:0b","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/0/00:14:a9:20:d5:5c  Cost = 19  Port = 0x800b"
"2","0.003002","Cisco_91:84:0b","Cisco_91:84:0b","LOOP","60","Reply"
"3","1.999715","Cisco_91:84:0b","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/0/00:14:a9:20:d5:5c  Cost = 19  Port = 0x800b"
"4","3.999600","Cisco_91:84:0b","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/0/00:14:a9:20:d5:5c  Cost = 19  Port = 0x800b"
"5","5.999444","Cisco_91:84:0b","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/0/00:14:a9:20:d5:5c  Cost = 19  Port = 0x800b"
"6","7.999334","Cisco_91:84:0b","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/0/00:14:a9:20:d5:5c  Cost = 19  Port = 0x800b"
"7","9.999191","Cisco_91:84:0b","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/0/00:14:a9:20:d5:5c  Cost = 19  Port = 0x800b"
"8","10.003184","Cisco_91:84:0b","Cisco_91:84:0b","LOOP","60","Reply"
"9","11.999045","Cisco_91:84:0b","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/0/00:14:a9:20:d5:5c  Cost = 19  Port = 0x800b"
"10","13.998898","Cisco_91:84:0b","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/0/00:14:a9:20:d5:5c  Cost = 19  Port = 0x800b"
"11","15.998711","Cisco_91:84:0b","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/0/00:14:a9:20:d5:5c  Cost = 19  Port = 0x800b"
"12","17.998611","Cisco_91:84:0b","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/0/00:14:a9:20:d5:5c  Cost = 19  Port = 0x800b"
"13","19.998464","Cisco_91:84:0b","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/0/00:14:a9:20:d5:5c  Cost = 19  Port = 0x800b"
"14","20.003147","Cisco_91:84:0b","Cisco_91:84:0b","LOOP","60","Reply"
"15","21.998302","Cisco_91:84:0b","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/0/00:14:a9:20:d5:5c  Cost = 19  Port = 0x800b"
